NumSamplesPerGroup,NumGroups,AvgKernelExecutionTime,AvgKernelProcessingTime,AvgTotalProcessingTime
4,1639375,2.825,0.020,28.660
8,819687,1.085,0.010,27.050
16,409843,0.873,0.020,26.540
32,204921,0.753,0.010,25.480
64,102460,0.905,0.010,26.540
128,51230,0.871,0.010,26.780
256,25615,1.163,0.020,27.020
4,1639375,1.071,0.000,27.500
8,819687,0.242,0.020,26.430
16,409843,0.075,0.000,26.160
4,1639375,6.879,0.000,36.010
8,819687,3.549,0.000,33.510
16,409843,1.903,0.000,31.340
32,204921,1.350,0.000,30.190
64,102460,1.056,0.000,29.900
128,51230,1.037,0.000,29.730
256,25615,1.028,0.010,30.000
